name,rating,position,version,price,skills,weak_foot,work_rate,pace,shooting,passing,dribbling,defending,physicality,height,base_stats,in_game_stats
Pelé,98,"CAM,CF,ST",Icon,5M,5,4,H \ M,95,96,93,96,60,76,"173cm | 5'8""",3413,516
Lionel Messi,98,"RW,RM",TOTY,6.1M,4,4,H \ L,93,98,97,99,40,77,"169cm | 5'7""",5035,504
Karim Benzema,97,"CF,ST",TOTY,2.9M,4,5,H \ M,92,97,90,94,45,90,"185cm | 6'1""",4030,508
Kylian Mbappé,97,"ST,CF,LW",TOTY,12.17M,5,4,H \ L,99,96,88,98,44,87,"182cm | 6'0""",3231,512
Kevin De Bruyne,97,"CM,CAM",TOTY,3.37M,4,5,H \ H,85,94,98,94,81,86,"181cm | 5'11""",2079,538
Ronaldo,96,"ST,CF",Icon,9.58M,5,5,M \ M,97,95,81,95,45,76,"183cm | 6'0""",3636,489
Zinedine Zidane,96,"CAM,CM",Icon,2.9M,5,5,M \ M,85,92,96,95,75,86,"185cm | 6'1""",1537,529
Pelé,96,"CF,CAM,ST",World Cup ICON,4.62M,5,4,H \ M,96,94,92,95,58,75,"173cm | 5'8""",1153,510
Thibaut Courtois,96,GK,TOTY,439K,1,3,M \ M,90,95,85,97,60,95,"199cm | 6'6""",2472,522
Virgil van Dijk,96,CB,TOTY,2.16M,2,3,M \ H,88,65,80,83,97,94,"193cm | 6'4""",-172,507
Luka Modric,96,CM,TOTY,1.25M,4,4,M \ M,85,86,97,97,85,83,"172cm | 5'8""",3225,533
Erling Haaland,96,"ST,CF",TOTY,4.3M,4,4,H \ M,96,96,80,88,60,94,"195cm | 6'5""",2868,514
Pelé,95,"CF,CAM,ST",Icon,3.39M,5,4,H \ M,96,93,90,95,56,75,"173cm | 5'8""",2005,505
Ronaldo,95,"ST,CF",World Cup ICON,8.2M,5,5,M \ M,95,94,80,94,46,78,"183cm | 6'0""",1077,487
Zinedine Zidane,95,"CAM,CM",World Cup ICON,2.75M,5,5,M \ M,84,91,94,94,73,85,"185cm | 6'1""",724,521
Jude Bellingham,95,"CM,CDM,LM",TOTY,2.71M,4,4,H \ H,88,88,92,96,90,92,"186cm | 6'1""",-1509,546
Ronaldinho,95,"LW,LM,CAM",TOTY Icon,0,5,4,H \ L,94,91,92,97,38,83,"180cm | 5'11""",2918,495
Müller,95,"ST,CF",TOTY Icon,1.21M,4,4,H \ M,89,95,79,90,45,78,"176cm | 5'9""",1021,476
Ferenc Puskás,94,"CF,ST",Icon,1.4M,4,3,H \ M,91,96,91,92,46,76,"172cm | 5'8""",2278,492
